k,Accuracy,Recall,Precision
1,0.89748045178106,0.9031578947368422,0.8562874251497006
2,0.8905299739357081,0.8084210526315789,0.9164677804295943
3,0.9044309296264118,0.911578947368421,0.8642714570858283
4,0.9009556907037359,0.8547368421052631,0.9002217294900222
5,0.89748045178106,0.8947368421052632,0.8620689655172413
6,0.9061685490877498,0.8568421052631578,0.9105145413870246
7,0.9131190269331017,0.9010526315789473,0.8898128898128899
8,0.9096437880104257,0.8694736842105263,0.9076923076923077
9,0.9052997393570807,0.8926315789473684,0.8796680497925311
10,0.9035621198957429,0.8652631578947368,0.8973799126637555
11,0.89748045178106,0.8736842105263158,0.8773784355179705
12,0.9044309296264118,0.8694736842105263,0.89587852494577
13,0.9009556907037359,0.88,0.88
14,0.9009556907037359,0.8631578947368421,0.8932461873638344
15,0.9018245004344049,0.88,0.8818565400843882
