Depth,Accuracy,Recall,Precision
1,0.7801911381407471,0.5305263157894737,0.8936170212765957
2,0.8549087749782798,0.6947368421052632,0.9375
3,0.8635968722849696,0.8378947368421052,0.8326359832635983
4,0.8905299739357081,0.7726315789473684,0.9532467532467532
5,0.9044309296264118,0.8147368421052632,0.9462102689486552
6,0.9079061685490878,0.8126315789473684,0.9578163771712159
7,0.9139878366637706,0.8442105263157895,0.9413145539906104
8,0.9113814074717637,0.84,0.9388235294117647
9,0.9165942658557776,0.8568421052631578,0.9356321839080459
10,0.9157254561251086,0.8463157894736842,0.9436619718309859
